Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
3155,93.0,70.30275541444608,6.0,91.75714941122496,13.0,132.35593565465282,29.0,110.35427527683701,36.0,79.2916611603013,8.0,30.546009927453227,1.0,5.539245554755443,,
3157,223.0,165.42903984391808,10.0,124.33171702101205,31.0,267.61049723756906,84.0,296.71494171670787,62.0,127.41471434443075,30.0,131.51549690938583,6.0,38.97875657766517,0.0,0.0
3158,112.0,93.6282623597666,11.0,178.07997409745832,16.0,176.854205814082,30.0,121.49684108213187,42.0,99.14546055427034,12.0,54.10035616067806,1.0,6.595000989250148,,
3159,228.0,69.92985544762776,17.0,102.0775789600096,31.0,128.29001820890582,74.0,90.30557453870937,78.0,73.42005685347992,25.0,43.24586137106679,3.0,7.646818923327896,0.0,0.0
3241,1439.0,124.36101856773095,62.0,92.9159111004541,200.0,214.44271698922427,479.0,171.09587083869124,541.0,135.7870377342389,132.0,71.57963234097934,23.0,17.121375665314325,2.0,17.28436672240875
3251,194.0,89.36426995379774,4.0,33.542976939203356,13.0,72.80058240465924,66.0,145.09002176350327,85.0,109.91995241112649,22.0,56.70541536716757,4.0,15.569048731122528,0.0,0.0
3252,155.0,104.34267480763923,7.0,89.1492613346918,25.0,216.18817018332757,44.0,147.33951712821886,54.0,107.09610884137876,21.0,74.94379215588309,4.0,19.205838574926776,,
3254,254.0,92.09004521113637,10.0,70.17051434987019,38.0,181.4535383439977,88.0,141.74344436569808,95.0,100.64412238325282,20.0,40.60006902011733,3.0,8.599191675982457,0.0,0.0
3255,54.0,76.64140338925317,3.0,87.31082654249127,5.0,96.73050880247631,20.0,138.66740622616655,19.0,81.20699234944651,6.0,43.25259515570934,1.0,9.841551028442083,,
3256,117.0,96.38355712991185,6.0,90.75782786265316,8.0,79.04357276948917,22.0,84.40113557891506,54.0,127.78040700425935,25.0,113.35298118340512,2.0,14.008545212579673,,
3257,180.0,114.05398555316182,5.0,61.6370808678501,23.0,191.4433161311803,61.0,190.46429575046054,66.0,119.31879813428789,23.0,78.92118175891295,2.0,9.42951438000943,,
3351,126.0,70.38673601063621,3.0,29.256875365710943,22.0,145.3680454605524,34.0,89.3185519886513,48.0,78.93308776372696,16.0,49.04364884747425,3.0,13.561160835367508,,
3352,140.0,70.69350326704976,4.0,38.90672113607626,16.0,100.54672280525357,51.0,131.48057438964656,48.0,70.78080070780801,15.0,38.01028811798393,7.0,27.15599177561392,-1.0,-50.49535947646411
3353,211.0,82.93014609068864,8.0,54.64854156704693,21.0,96.56504345426956,79.0,155.59144444006776,72.0,77.15801318116058,24.0,55.13565668864435,7.0,23.00588293292142,,
3354,25.0,51.640089234074196,0.0,0.0,2.0,55.38631957906397,9.0,102.2378734522322,10.0,61.80851721367205,3.0,29.013539651837526,1.0,13.915947676036739,,
3355,117.0,63.538956983583056,5.0,47.92485382919582,25.0,160.50333846944017,32.0,74.36844918543308,45.0,68.32882869203438,8.0,26.76659528907923,2.0,10.333247222939809,,
3356,71.0,62.32006179341339,1.0,15.496668216333488,6.0,64.405324173465,34.0,155.03169030139983,27.0,65.54670809865993,3.0,14.165643592407214,0.0,0.0,,
3357,123.0,75.09982781990695,1.0,11.090163025396473,9.0,66.84491978609626,37.0,100.2139703691666,42.0,72.56141805742718,28.0,97.36759745453281,6.0,33.81996505270278,,
3358,129.0,92.30438982505098,5.0,63.239340034599195,13.0,117.69334280560197,60.0,185.91391735793883,38.0,79.12815808682726,11.0,47.122885619463524,2.0,12.674609501761534,,
3359,246.0,120.28634016585823,17.0,140.25245441795232,39.0,222.39963503649636,88.0,193.31737000505262,80.0,111.51535427034109,20.0,57.1787981016639,2.0,8.842905778838926,,
3360,70.0,75.76659559038414,2.0,45.464878381450326,8.0,115.59023262534316,14.0,75.16778523489933,26.0,81.74558259447903,15.0,84.57374830852504,5.0,38.75368159975198,,
